CC,defaultDescription,conceptID
(B) SIDE EAR PAIN,B Ear pain,16001004-B
(B) SIDE EAR SWELLING,B Ear swelling,300874009-B
(B) SIDE EARACHE,B Ear pain,16001004-B
(B) SIDE EBLOW FX,B Elbow fracture,309464009-B
(B) SIDE ELBOW BURN,B Elbow burn,18084001-B
(B) SIDE ELBOW CRUSH INJ,B Elbow crush injury,5450005-B
(B) SIDE ELBOW CRUSH INJURY,B Elbow crush injury,5450005-B
(B) SIDE ELBOW FRACTURE,B Elbow fracture,309464009-B
(B) SIDE ELBOW FX,B Elbow fracture,309464009-B
(B) SIDE ELBOW LAC,B Elbow laceration,283370006-B
(B) SIDE ELBOW LACERATION,B Elbow laceration,283370006-B
(B) SIDE ELBOW PAIN,B Elbow pain,74323005-B
(B) SIDE EPISTAXIS,B Epistaxis,249366005-B
(B) SIDE EPISTAXSIS,B Epistaxis,249366005-B
(B) SIDE EYE BURN,B Eye burn,274205003-B
(B) SIDE EYE DISCHARGE,B Eye discharge,246679005-B
(B) SIDE EYE EVAL,B Eye eval,118235002-B
(B) SIDE EYE FINDING,B Eye eval,118235002-B
(B) SIDE EYE FOREIGN BODY SENSATION,B Eye foreign body sensation,3283003-B
(B) SIDE EYE PAIN,B Eye pain,41652007-B
(B) SIDE EYE REDNESS,B Eye redness,246676003-B
(B) SIDE EYE SWELLING,B Eye swelling,9404003-B
(B) SIDE EYELID ABSCESS,B Eyelid abscess,76126009-B
(B) SIDE EYELID LAC,B Eyelid laceration,231816006-B
(B) SIDE EYELID LACERATION,B Eyelid laceration,231816006-B
(B) SIDE FACE INJ,B Facial injury,125593007-B
(B) SIDE FACE INJURY,B Facial injury,125593007-B
(B) SIDE FACE NUMBNESS,B Facial numbness,309557009-B
(B) SIDE FACE PAIN,B Facial pain,95668009-B
(B) SIDE FACIAL DROOP,B Facial droop,95667004-B
(B) SIDE FACIAL INJ,B Facial injury,125593007-B
(B) SIDE FACIAL INJURY,B Facial injury,125593007-B
(B) SIDE FACIAL LAC,B Facial laceration,370247008-B
(B) SIDE FACIAL LACERATION,B Facial laceration,370247008-B
(B) SIDE FACIAL NUMBNESS,B Facial numbness,309557009-B
(B) SIDE FACIAL PAIN,B Facial pain,95668009-B
(B) SIDE FACIAL SWELLING,B Facial swelling,278528006-B
(B) SIDE FEET PAIN,B Foot pain,47933007-B
(B) SIDE FEMER FX,B Femur fracture,71620000-B
(B) SIDE FEMUR FRACTURE,B Femur fracture,71620000-B
(B) SIDE FEMUR FX,B Femur fracture,71620000-B
(B) SIDE FIBULA FRACTURE,B Fibula fracture,75591007-B
(B) SIDE FIBULA FX,B Fibula fracture,75591007-B
(B) SIDE FINGER ABSCESS,B Finger abscess,21092002-B
(B) SIDE FINGER BURN,B Finger burn,82057004-B
(B) SIDE FINGER CRUSH INJ,B Finger crush injury,10380004-B
(B) SIDE FINGER CRUSH INJURY,B Finger crush injury,10380004-B
(B) SIDE FINGER FRACTURE,B Finger fracture,18171007-B
(B) SIDE FINGER FX,B Finger fracture,18171007-B
(B) SIDE FINGER INJ,B Finger injury,52011008-B
(B) SIDE FINGER INJURY,B Finger injury,52011008-B
(B) SIDE FINGER LAC,B Finger laceration,274172008-B
(B) SIDE FINGER LACERATION,B Finger laceration,274172008-B
(B) SIDE FINGER NUMB,B Finger numb,309536001-B
(B) SIDE FINGER NUMBNESS,B Finger numb,309536001-B
(B) SIDE FINGER PAIN,B Finger pain,18876004-B
(B) SIDE FINGER REDNESS,B Finger redness,f178d592c5ea11e4b987525400010026-B
(B) SIDE FINGER SWELLING,B Finger swelling,299060006-B
(B) SIDE FINGER TENDON LAC,B Finger tendon laceration,446313009-B
(B) SIDE FINGER TENDON LACERATION,B Finger tendon laceration,446313009-B
(B) SIDE FLANK ABSCESS,B Flank abscess,65967008-B
(B) SIDE FLANK PAIN,B Flank pain,247355005-B
(B) SIDE FOOT ABSCESS,B Foot abscess,301706005-B
(B) SIDE FOOT BURN,B Foot burn,11980003-B
(B) SIDE FOOT CRUSH INJ,B Foot crush injury,43422002-B
(B) SIDE FOOT CRUSH INJURY,B Foot crush injury,43422002-B
(B) SIDE FOOT EDEMA,B Pedal edema,102576009-B
(B) SIDE FOOT FRACTURE,B Foot fracture,15574005-B
(B) SIDE FOOT FX,B Foot fracture,15574005-B
(B) SIDE FOOT INJ,B Foot injury,125604000-B
(B) SIDE FOOT INJURY,B Foot injury,125604000-B
(B) SIDE FOOT LAC,B Foot laceration,284551006-B
(B) SIDE FOOT LACERATION,B Foot laceration,284551006-B
(B) SIDE FOOT NUMBNESS,B Foot numbness,309538000-B
(B) SIDE FOOT PAIN,B Foot pain,47933007-B
(B) SIDE FOOT PARESTHESIA,B Foot paresthesia,309087008-B
(B) SIDE FOOT REDNESS,B Foot redness,d6f96bc0c73711e4b8b2525400010026-B
(B) SIDE FOOT SWELLING,B Foot swelling,297142003-B
(B) SIDE FOOT ULCER,B Foot ulcer,95345008-B
(B) SIDE FOREARM ABSCESS,B Forearm abscess,58964002-B
(B) SIDE FOREARM BURN,B Forearm burn,80827001-B
(B) SIDE FOREARM CRUSH INJ,B Forearm crush injury,111693009-B
(B) SIDE FOREARM CRUSH INJURY,B Forearm crush injury,111693009-B
(B) SIDE FOREARM FRACTURE,B Forearm fracture,65966004-B
(B) SIDE FOREARM FX,B Forearm fracture,65966004-B
(B) SIDE FOREARM INJ,B Forearm injury,125597008-B
(B) SIDE FOREARM INJURY,B Forearm injury,125597008-B
(B) SIDE FOREARM LAC,B Forearm laceration,283371005-B
(B) SIDE FOREARM LACERATION,B Forearm laceration,283371005-B
(B) SIDE FOREARM PAIN,B Forearm pain,444899003-B
(B) SIDE FOREHEAD LAC,B Forehead laceration,283359004-B
(B) SIDE FOREHEAD LACERATION,B Forehead laceration,283359004-B
(B) SIDE FRACTURE OF SCAPULA,B Fracture of scapula,9682006-B
(B) SIDE FX OF SCAPULA,B Fracture of scapula,9682006-B
(B) SIDE GENERAL WEAKNESS,B Weakness,26544005-B
(B) SIDE GENERALIZED WEAKNESS,B Weakness,26544005-B
(B) SIDE GINGIVAE LAC,B Gum laceration,286622004-B
(B) SIDE GINGIVAE LACERATION,B Gum laceration,286622004-B
(B) SIDE GLUTEAL ABSCESS,B Gluteal abscess,64576003-B
(B) SIDE GROIN ABSCESS,B Groin abscess,79216009-B
(B) SIDE GROIN LAC,B Groin laceration,283382002-B
(B) SIDE GROIN LACERATION,B Groin laceration,283382002-B
(B) SIDE GROIN PAIN,B Inguinal pain,102570003-B
(B) SIDE GUM LAC,B Gum laceration,286622004-B
(B) SIDE GUM LACERATION,B Gum laceration,286622004-B
(B) SIDE H/A,B Headache,25064002-B
(B) SIDE HA,B Headache,25064002-B
(B) SIDE HA - HEADACHE,B Headache,25064002-B
(B) SIDE HAND ABSCESS ,B Hand abscess ,3633001-B
(B) SIDE HAND BURN,B Hand burn,14893008-B
(B) SIDE HAND CRUSH INJ,B Hand crush injury,50793006-B
(B) SIDE HAND CRUSH INJURY,B Hand crush injury,50793006-B
(B) SIDE HAND FRACTURE,B Hand fracture,20511007-B
(B) SIDE HAND FX,B Hand fracture,20511007-B
(B) SIDE HAND INJ,B Hand injury,125599006-B
(B) SIDE HAND INJURY,B Hand injury,125599006-B
(B) SIDE HAND LAC,B Hand laceration,284549007-B
(B) SIDE HAND LACERATION,B Hand laceration,284549007-B
(B) SIDE HAND LACS,B Hand laceration,284549007-B
(B) SIDE HAND NUMBNESS,B Hand numbness,309521004-B
(B) SIDE HAND PAIN,B Hand pain,53057004-B
(B) SIDE HAND REDNESS,B Hand redness,098fe948c5e811e4899b525400010026-B
(B) SIDE HAND SWELLING,B Hand swelling,299037003-B
(B) SIDE HAND TENDON INJ,B Hand tendon injury,262971000-B
(B) SIDE HAND TENDON INJURY,B Hand tendon injury,262971000-B
(B) SIDE HAND WEAKNESS,B Hand weakness,298283006-B
(B) SIDE HANDPAIN,B Hand pain,53057004-B
(B) SIDE HEAD ACHE,B Headache,25064002-B
(B) SIDE HEAD PAIN,B Headache,25064002-B
(B) SIDE HEADACHE,B Headache,25064002-B
(B) SIDE HEADACHES,B Headache,25064002-B
(B) SIDE HEARLING LOSS,B Hearling loss,103276001-B
(B) SIDE HEEL ABSCESS,B Heel abscess,91541006-B
(B) SIDE HEEL FX,B Calcaneus fx,263247007-B
(B) SIDE HEEL LAC,B Heel laceration,283395007-B
(B) SIDE HEEL LACERATION,B Heel laceration,283395007-B
(B) SIDE HEEL PAIN,B Heel pain,2733002-B
(B) SIDE HEEL ULCER,B Heel ulcer,301022003-B
(B) SIDE HIP ABSCESS,B Hip abscess,736004-B
(B) SIDE HIP BURN,B Hip burn,284226006-B
(B) SIDE HIP CRUSH INJ,B Hip crush injury,11730002-B
(B) SIDE HIP CRUSH INJURY,B Hip crush injury,11730002-B
(B) SIDE HIP FRACTURE,B Hip fracture,263225007-B
(B) SIDE HIP FX,B Hip fracture,263225007-B
(B) SIDE HIP INJ,B Hip injury,125600009-B
(B) SIDE HIP INJURY,B Hip injury,125600009-B
(B) SIDE HIP LAC,B Hip laceration,283384001-B
(B) SIDE HIP LACERATION,B Hip laceration,283384001-B
(B) SIDE HIP PAIN,B Hip pain,49218002-B
(B) SIDE HUMERUS FRACTURE,B Humerus fracture,66308002-B
(B) SIDE HUMERUS FX,B Humerus fracture,66308002-B
(B) SIDE INGUINAL PAIN,B Inguinal pain,102570003-B
(B) SIDE JAW PAIN,B Jaw pain,274667000-B
(B) SIDE KNEE BURN,B Knee burn,19684007-B
(B) SIDE KNEE CRUSH INJ,B Knee crush injury,38128008-B
(B) SIDE KNEE CRUSH INJURY,B Knee crush injury,38128008-B
(B) SIDE KNEE INJ,B Knee injury,125601008-B
(B) SIDE KNEE INJURY,B Knee injury,125601008-B
(B) SIDE KNEE LAC,B Knee laceration,283386004-B
(B) SIDE KNEE LACERATION,B Knee laceration,283386004-B
(B) SIDE KNEE PAIN,B Knee pain,30989003-B
(B) SIDE KNEE SWELLING,B Knee swelling,248491001-B
(B) SIDE LABIAL TEAR,B Labial tear,249221003-B
(B) SIDE LBP,B Lower back pain,279039007-B
(B) SIDE LBP - LOW BACK PAIN,B Lower back pain,279039007-B
(B) SIDE LE CELLULITIS,B Leg cellulitis,449710006-B
(B) SIDE LE DVT,B Leg DVT,404223003-B
(B) SIDE LE EDEMA,B Leg swelling,449614009-B
(B) SIDE LE INJ,B Leg injury,127279002-B
(B) SIDE LE INJURY,B Leg injury,127279002-B
(B) SIDE LE LAC,B Leg laceration,283357002-B
(B) SIDE LE LACERATION,B Leg laceration,283357002-B
(B) SIDE LE NUMBNESS,B Leg numbness,309537005-B
(B) SIDE LE PAIN,B Leg pain,10601006-B
(B) SIDE LE PARESTHESIA,B Lower extremity paresthesia,429783005-B
(B) SIDE LE REDNESS,B Leg redness,02192a6cc5e811e4a5e0525400010026-B
(B) SIDE LE SWELLING,B Leg swelling,449614009-B
(B) SIDE LE WEAKNESS,B Leg weakness,102568007-B
(B) SIDE LEG ABSCESS,B Leg abscess,315596001-B
(B) SIDE LEG BURN,B Leg burn,84677008-B
(B) SIDE LEG CELLULITIS,B Leg cellulitis,449710006-B
(B) SIDE LEG CRUSH INJ,B Leg crush injury,39595001-B
(B) SIDE LEG CRUSH INJURY,B Leg crush injury,39595001-B
(B) SIDE LEG DVT,B Leg DVT,404223003-B
(B) SIDE LEG INJ,B Leg injury,127279002-B
(B) SIDE LEG INJURY,B Leg injury,127279002-B
(B) SIDE LEG LAC,B Leg laceration,283357002-B
(B) SIDE LEG LACERATION,B Leg laceration,283357002-B
(B) SIDE LEG NUMBNESS,B Leg numbness,309537005-B
(B) SIDE LEG PAIN,B Leg pain,10601006-B
(B) SIDE LEG PARESTHESIA,B Lower extremity paresthesia,429783005-B
(B) SIDE LEG REDNESS,B Leg redness,02192a6cc5e811e4a5e0525400010026-B
(B) SIDE LEG SWELLING,B Leg swelling,449614009-B
(B) SIDE LEG WEAKNESS,B Leg weakness,102568007-B
(B) SIDE LIP LAC,B Lip laceration,283363006-B
(B) SIDE LIP LACERATION,B Lip laceration,283363006-B
(B) SIDE LIP SWELLING,B Lip swelling,163140002-B
(B) SIDE LOW BACK PAIN,B Lower back pain,279039007-B
(B) SIDE LOWER BACK PAIN,B Lower back pain,279039007-B
(B) SIDE LOWER EXTREMITY EDEMA,B Leg swelling,449614009-B
(B) SIDE LOWER EXTREMITY INJ,B Leg injury,127279002-B
(B) SIDE LOWER EXTREMITY INJURY,B Leg injury,127279002-B
(B) SIDE LOWER EXTREMITY NUMBNESS,B Leg numbness,309537005-B
(B) SIDE LOWER EXTREMITY PAIN,B Leg pain,10601006-B
(B) SIDE LOWER EXTREMITY PARESTHESIA,B Lower extremity paresthesia,429783005-B
(B) SIDE LOWER EXTREMITY SWELLING,B Leg swelling,449614009-B
(B) SIDE LOWER EXTREMITY WEAKNESS,B Leg weakness,102568007-B
(B) SIDE LOWER LEG BURN,B Lower leg burn,37696000-B
(B) SIDE LOWER LEG CRUSH INJ,B Lower leg crush injury,40874009-B
(B) SIDE LOWER LEG CRUSH INJURY,B Lower leg crush injury,40874009-B
(B) SIDE LOWER LEG INJ,B Lower leg injury,125602001-B
(B) SIDE LOWER LEG INJURY,B Lower leg injury,125602001-B
(B) SIDE LOWER LEG LAC,B Lower leg laceration,283387008-B
(B) SIDE LOWER LEG LACERATION,B Lower leg laceration,283387008-B
(B) SIDE LOWER LIMB ABSCESS,B Leg abscess,315596001-B
(B) SIDE LOWER LIMB BURN,B Leg burn,84677008-B
(B) SIDE MASTITIS,B Mastitis,45198002-B
(B) SIDE MAXILLARY FRACTURE,B Maxillary fracture,263156006-B
(B) SIDE MAXILLARY FX,B Maxillary fracture,263156006-B
(B) SIDE MIGRAINE,B Headache,25064002-B
(B) SIDE NAIL BED LAC,B Nail bed lac,446314003-B
(B) SIDE NAIL BED LACERATION,B Nail bed lac,446314003-B
(B) SIDE NAILBED LAC,B Nail bed lac,446314003-B
(B) SIDE NAILBED LACERATION,B Nail bed lac,446314003-B
(B) SIDE NASAL FOREIGN BODY,B Nose foriegn body,74699008-B
(B) SIDE NECK PAIN,B Neck pain,81680005-B
(B) SIDE NIPPLE ABSCESS,B Nipple abscess,237439001-B
(B) SIDE NIPPLE PAIN,B Nipple pain,225573003-B
(B) SIDE NOSE BLEED,B Epistaxis,249366005-B
(B) SIDE NOSE BLEEDING,B Epistaxis,249366005-B
(B) SIDE NOSE FORIEGN BODY,B Nose foriegn body,74699008-B
(B) SIDE NOSE LAC,B Nose laceration,373602003-B
(B) SIDE NOSE LACERATION,B Nose laceration,373602003-B
(B) SIDE NOSEBLEED,B Epistaxis,249366005-B
(B) SIDE NUMBESS,B Numbness,44077006-B
(B) SIDE NUMBNESS,B Numbness,44077006-B
(B) SIDE OPEN HIP FRACTURE,B Open hip fracture,361118003-B
(B) SIDE OPEN HIP FX,B Open hip fracture,361118003-B
(B) SIDE OPEN TIB FIB FRACTURE,B Open Tib/Fib fracture,414943006-B
(B) SIDE OPEN TIB FIB FX,B Open Tib/Fib fracture,414943006-B
(B) SIDE OPEN TIB/FIB FRACTURE,B Open Tib/Fib fracture,414943006-B
(B) SIDE OPEN TIB/FIB FX,B Open Tib/Fib fracture,414943006-B
(B) SIDE ORBITAL FLOOR FRACTURE,B Orbital floor fracture,207787008-B
(B) SIDE ORBITAL FLOOR FX,B Orbital floor fracture,207787008-B
(B) SIDE ORBITAL FRACTURE,B Orbital fracture,95851007-B
(B) SIDE ORBITAL FX,B Orbital fracture,95851007-B
(B) SIDE ORBITAL SWELLING,B Eye swelling,9404003-B
(B) SIDE PAIN,B Pain,22253000-B
(B) SIDE PATELLA FRACTURE,B Patella fracture,51037009-B
(B) SIDE PATELLA FX,B Patella fracture,51037009-B
(B) SIDE PEDAL EDEMA,B Pedal edema,102576009-B
(B) SIDE PELVIC LAC,B Pelvic laceration,283379007-B
(B) SIDE PELVIC LACERATION,B Pelvic laceration,283379007-B
(B) SIDE PELVIC PAIN,B Pelvic pain,30473006-B
(B) SIDE PLEURAL EFFUSION,B Pleural effusion,60046008-B
(B) SIDE PNEUMOTHORAX,B Pneumothorax,36118008-B
(B) SIDE PNEUMOTHRAX,B Pneumothorax,36118008-B
(B) SIDE POSITIVE DVT,B DVT,128053003-B
(B) SIDE PTX,B Pneumothorax,36118008-B
(B) SIDE PULSELESS FOOT,B Pulseless foot,422163002-B
(B) SIDE RADIUS FRACTURE,B Radius Fracture,12676007-B
(B) SIDE RADIUS FX,B Radius Fracture,12676007-B
(B) SIDE RIB FRACTURE,B Rib fracture,33737001-B
(B) SIDE RIB FX,B Rib fracture,33737001-B
(B) SIDE RIB INJ,B Rib Injury,282770002-B
(B) SIDE RIB INJURY,B Rib Injury,282770002-B
(B) SIDE RIB PAIN,B Rib pain,297217002-B
(B) SIDE RING STUCK,B Ring stuck on finger,248406004-B
(B) SIDE RING STUCK ON FINGER,B Ring stuck on finger,248406004-B
(B) SIDE RING TIGHT ON FINGERS,B Ring stuck on finger,248406004-B
(B) SIDE S/P CHEST PAIN,B Chest pain,29857009-B
(B) SIDE S/P CP,B Chest pain,29857009-B
(B) SIDE SCAPULA PAIN,B Scapula pain,20793008-B
(B) SIDE SCAPULAR PAIN,B Scapula pain,20793008-B
(B) SIDE SCROTAL INJ,B Scrotal injury,282782006-B
(B) SIDE SCROTAL INJURY,B Scrotal injury,282782006-B
(B) SIDE SCROTUM INJ,B Scrotal injury,282782006-B
(B) SIDE SCROTUM INJURY,B Scrotal injury,282782006-B
(B) SIDE SCROTUM LAC,B Scrotum laceration,283954003-B
(B) SIDE SCROTUM LACERATION,B Scrotum laceration,283954003-B
(B) SIDE SHIN INJ,B Shin injury,282774006-B
(B) SIDE SHIN INJURY,B Shin injury,282774006-B
(B) SIDE SHIN LAC,B Shin laceration,283388003-B
(B) SIDE SHIN LACERATION,B Shin laceration,283388003-B
(B) SIDE SHOULDER ABSCESS,B Shoulder abscess,17354003-B
(B) SIDE SHOULDER BURN,B Shoulder burn,57143002-B
(B) SIDE SHOULDER CRUSH INJ,B Shoulder crush injury,2591000-B
(B) SIDE SHOULDER CRUSH INJURY,B Shoulder crush injury,2591000-B
(B) SIDE SHOULDER DISLOCATION,B Shoulder dislocation,417076003-B
(B) SIDE SHOULDER INJ,B Shoulder injury,125594001-B
(B) SIDE SHOULDER INJURY,B Shoulder injury,125594001-B
(B) SIDE SHOULDER LAC,B Shoulder laceration,283367007-B
(B) SIDE SHOULDER LACERATION,B Shoulder laceration,283367007-B
(B) SIDE SHOULDER PAIN,B Shoulder pain,45326000-B
(B) SIDE SOLE LAC,B Sole laceration,283394006-B
(B) SIDE SOLE LACERATION,B Sole laceration,283394006-B
(B) SIDE SWOLLEN FINGER,B Finger swelling,299060006-B
(B) SIDE TENDER BREAST,B Tender breast,55222007-B
(B) SIDE TENDER BREASTS,B Tender breast,55222007-B
(B) SIDE TENDON LAC,B Tendon laceration,301453009-B
(B) SIDE TENDON LACERATION,B Tendon laceration,301453009-B
(B) SIDE TESTICLE PAIN,B Testicular pain,63901009-B
(B) SIDE TESTICULAR ABSCESS,B Testicular abscess,95593001-B
(B) SIDE TESTICULAR CRUSH INJ,B Testis crush injury,78198009-B
(B) SIDE TESTICULAR CRUSH INJURY,B Testis crush injury,78198009-B
(B) SIDE TESTICULAR PAIN,B Testicular pain,63901009-B
(B) SIDE TESTIS ABSCESS,B Testicular abscess,95593001-B
(B) SIDE TESTIS CRUSH INJ,B Testis crush injury,78198009-B
(B) SIDE TESTIS CRUSH INJURY,B Testis crush injury,78198009-B
(B) SIDE THIGH ABSCESS,B Thigh abscess,3507004-B
(B) SIDE THIGH BURN,B Thigh burn,6132001-B
(B) SIDE THIGH INJ,B Thigh injury,7523003-B
(B) SIDE THIGH INJURY,B Thigh injury,7523003-B
(B) SIDE THIGH LAC,B Thigh laceration,283385000-B
(B) SIDE THIGH LACERATION,B Thigh laceration,283385000-B
(B) SIDE THIGH PAIN,B Thigh pain,78514002-B
(B) SIDE THORACIC BACK PAIN,B Upper back pain,279038004-B
(B) SIDE THORACIC PAIN,B Upper back pain,279038004-B
(B) SIDE THUMB BURN,B Thumb burn,64090007-B
(B) SIDE THUMB CRUSH INJ,B Thumb crush injury,283858004-B
(B) SIDE THUMB CRUSH INJURY,B Thumb crush injury,283858004-B
(B) SIDE THUMB FX,B Thumb fx,274160002-B
(B) SIDE THUMB INJ,B Thumb injury,262520005-B
(B) SIDE THUMB INJURY,B Thumb injury,262520005-B
(B) SIDE THUMB LAC,B Thumb laceration,274173003-B
(B) SIDE THUMB LACERATION,B Thumb laceration,274173003-B
(B) SIDE THUMB PAIN,B Thumb pain,300955002-B
(B) SIDE THUMB REDNESS,B Thumb redness,e65a02c6c5ea11e4a4a5525400010026-B
(B) SIDE TIB/FIB FRACTURE,B Tib/Fib Fracture,414293001-B
(B) SIDE TIB/FIB FX,B Tib/Fib Fracture,414293001-B
(B) SIDE TIBIA AND FIBULA FRACTURE,B Tib/Fib Fracture,414293001-B
(B) SIDE TIBIA AND FIBULA FX,B Tib/Fib Fracture,414293001-B
(B) SIDE TIBIA FRACTURE,B Tibia fracture,31978002-B
(B) SIDE TIBIA FX,B Tibia fracture,31978002-B
(B) SIDE TOE ABSCESS,B Toe abscess,111183001-B
(B) SIDE TOE BURN,B Toe burn,88374002-B
(B) SIDE TOE CRUSH INJ,B Toe crush injury,74682007-B
(B) SIDE TOE CRUSH INJURY,B Toe crush injury,74682007-B
(B) SIDE TOE FRACTURE,B Toe fx,21351003-B
(B) SIDE TOE FX,B Toe fx,21351003-B
(B) SIDE TOE LAC,B Toe laceration,284552004-B
(B) SIDE TOE LACERATION,B Toe laceration,284552004-B
(B) SIDE TOE NAIL BED LAC,B Toe nail bed laceration,446859003-B
(B) SIDE TOE NAIL BED LACERATION,B Toe nail bed laceration,446859003-B
(B) SIDE TOE NUMB,B Toe numb,309539008-B
(B) SIDE TOE NUMBNESS,B Toe numb,309539008-B
(B) SIDE TOE PAIN,B Toe pain,285365001-B
(B) SIDE TOE REDNESS,B Toe redness,e98210cec5ea11e4a9a0525400010026-B
(B) SIDE TRAUMATIC BACK/SPINE INJ,B Back pain,161891005-B
(B) SIDE TRAUMATIC BACK/SPINE INJURY,B Back pain,161891005-B
(B) SIDE TRUNK LAC,B Trunk laceration,283375001-B
(B) SIDE TRUNK LACERATION,B Trunk laceration,283375001-B
(B) SIDE UE BURN,B Arm burn,6055000-B
(B) SIDE UE CELLULITIS,B Arm cellulitis,449671007-B
(B) SIDE UE CRUSH INJ,B Arm crush injury,9560007-B
(B) SIDE UE CRUSH INJURY,B Arm crush injury,9560007-B
(B) SIDE UE DVT,B Arm DVT,128054009-B
(B) SIDE UE FRACTURE,B Arm fracture,23406007-B
(B) SIDE UE FX,B Arm fracture,23406007-B
(B) SIDE UE INJ,B Arm injury,127278005-B
(B) SIDE UE INJURY,B Arm injury,127278005-B
(B) SIDE UE LAC,B Arm laceration,283366003-B
(B) SIDE UE LACERATION,B Arm laceration,283366003-B
(B) SIDE UE NUMBNESS,B Arm numbness,298753001-B
(B) SIDE UE PAIN,B Arm pain,102556003-B
(B) SIDE UE REDNESS,B Arm redness,0552bee6c5e811e48aee525400010026-B
(B) SIDE UE SWELLING,B Arm swelling,449618007-B
(B) SIDE UE WEAKNESS,B Arm weakness,6dc81860c5e611e4a6ab525400010026-B
(B) SIDE ULNA FX,B Ulna fx,54556006-B
(B) SIDE UPPER BACK PAIN,B Upper back pain,279038004-B
(B) SIDE UPPER EXTREMITY BURN,B Arm burn,6055000-B
(B) SIDE UPPER EXTREMITY INJ,B Arm injury,127278005-B
(B) SIDE UPPER EXTREMITY INJURY,B Arm injury,127278005-B
(B) SIDE UPPER EXTREMITY SWELLING,B Arm swelling,449618007-B
(B) SIDE UPPER LIMB ABSECSS,B Arm abscess,315597005-B
(B) SIDE UPPER LIMB BURN,B Arm burn,6055000-B
(B) SIDE WEAK,B Weakness,26544005-B
(B) SIDE WEAKNES,B Weakness,26544005-B
(B) SIDE WEAKNESS,B Weakness,26544005-B
(B) SIDE WRIST ABSCESS,B Wrist abscess,36281004-B
(B) SIDE WRIST BURN,B Wrist burn,3480002-B
(B) SIDE WRIST CRUSH INJ,B Wrist crush injury,47814001-B
(B) SIDE WRIST CRUSH INJURY,B Wrist crush injury,47814001-B
(B) SIDE WRIST INJ,B Wrist injury,125598003-B
(B) SIDE WRIST INJURY,B Wrist injury,125598003-B
(B) SIDE WRIST LAC,B Wrist laceration,283372003-B
(B) SIDE WRIST LACERATION,B Wrist laceration,283372003-B
(B) SIDE WRIST PAIN,B Wrist pain,56608008-B
(B) SIDED +DVT,B DVT,128053003-B
(B) SIDED ABDOMEN LAC,B Abdomen laceration,283378004-B
(B) SIDED ABDOMEN LACERATION,B Abdomen laceration,283378004-B
(B) SIDED ANKLE ABSCESS,B Ankle abscess,58196009-B
(B) SIDED ANKLE BURN,B Ankle burn,40993007-B
(B) SIDED ANKLE CRUSH INJ,B Ankle crush injury,65896005-B
(B) SIDED ANKLE CRUSH INJURY,B Ankle crush injury,65896005-B
(B) SIDED ANKLE FRACTURE,B Ankle fx,16114001-B
(B) SIDED ANKLE FX,B Ankle fx,16114001-B
(B) SIDED ANKLE INJ,B Ankle injury,125603006-B
(B) SIDED ANKLE INJURY,B Ankle injury,125603006-B
(B) SIDED ANKLE LAC,B Ankle laceration,283390002-B
(B) SIDED ANKLE LACERATION,B Ankle laceration,283390002-B
(B) SIDED ANKLE PAIN,B Ankle pain,247373008-B
(B) SIDED ANKLE SWELLING,B Ankle swelling,267039000-B
(B) SIDED ARM ABSCESS,B Arm abscess,315597005-B
(B) SIDED ARM BURN,B Arm burn,6055000-B
(B) SIDED ARM CELLULITIS,B Arm cellulitis,449671007-B
(B) SIDED ARM CRUSH INJ,B Arm crush injury,9560007-B
(B) SIDED ARM CRUSH INJURY,B Arm crush injury,9560007-B
(B) SIDED ARM DVT,B Arm DVT,128054009-B
(B) SIDED ARM FRACTURE,B Arm fracture,23406007-B
(B) SIDED ARM FX,B Arm fracture,23406007-B
(B) SIDED ARM INJ,B Arm injury,127278005-B
(B) SIDED ARM INJURY,B Arm injury,127278005-B
(B) SIDED ARM LAC,B Arm laceration,283366003-B
(B) SIDED ARM LACERATION,B Arm laceration,283366003-B
(B) SIDED ARM NUMBNESS,B Arm numbness,298753001-B
(B) SIDED ARM PAIN,B Arm pain,102556003-B
(B) SIDED ARM REDNESS,B Arm redness,0552bee6c5e811e48aee525400010026-B
(B) SIDED ARM SWELLING,B Arm swelling,449618007-B
(B) SIDED ARM WEAKNESS,B Arm weakness,6dc81860c5e611e4a6ab525400010026-B
(B) SIDED AXILLA ABSCESS,B Axilla abscess,13802001-B
(B) SIDED AXILLA BURN,B Axilla burn,84493007-B
(B) SIDED AXILLA LAC,B Axilla laceration,283368002-B
(B) SIDED AXILLA LACERATION,B Axilla laceration,283368002-B
(B) SIDED AXILLARY ABSCESS,B Axilla abscess,13802001-B
(B) SIDED BACK LAC,B Back laceration,274171001-B
(B) SIDED BACK LACERATION,B Back laceration,274171001-B
(B) SIDED BACK PAIN,B Back pain,161891005-B
(B) SIDED BACKPAIN,B Back pain,161891005-B
(B) SIDED BODY PAIN,B Body pain,279001004-B
(B) SIDED BREAST ABSCESS,B Breast abscess,28432003-B
(B) SIDED BREAST BURN,B Breast burn,80433004-B
